species	innovation
Zonotrichia_albicollis	-0.466523093
Melospiza_georgiana	-0.347418515
Melospiza_melodia	0.592412913
Passerculus_sandwichensis	0.651491036
Geothlypis_trichas	0.697598056
Agelaius_phoeniceus	0.108805311
Haemorhous_mexicanus	0.161343742
Fringilla_coelebs	0.812730351
Passer_domesticus	2.587342037
Taeniopygia_guttata	-0.596338534
Catharus_ustulatus	0.268560859
Erithacus_rubecula	0.822059572
Cinclus_cinclus	0.55112073
Acridotheres_tristis	1.099156443
Sylvia_borin	-0.493708573
Sylvia_atricapilla	0.530875406
Zosterops_lateralis	0.943483119
Hirundo_rustica	2.19760713
Poecile_atricapillus	0.205694348
Cyanocitta_cristata	1.604750296
Corvus_moneduloides	1.781960261
Lathamus_discolor	-0.300091271
Ara_ararauna	-0.408496654
Falco_rusticolus	0.610143191
Falco_cherrug	-0.500460791
Falco_biarmicus	0.650444149
Falco_peregrinus	2.368015491
Falco_naumanni	0.182865711
Falco_punctatus	0.345728666
Dryobates_pubescens	0.906285757
Haliaeetus_albicilla	-0.591259151
Buteo_buteo	1.57692688
Harpia_harpyja	1.052133929
Aquila_chrysaetos	1.325207342
Gypaetus_barbatus	0.164346503
Sarcoramphus_papa	-0.339357039
Numenius_arquata	-0.529668586
Rissa_tridactyla	0.097972721
Larus_argentatus	2.046446893
Larus_michahellis	0.680274302
Larus_fuscus	0.52987841
Sterna_hirundo	1.174264522
Vanellus_vanellus	-0.592582724
Pluvialis_apricaria	0.188067438
Grus_americana	-0.473510994
Grus_grus	-0.582528729
Gallinula_chloropus	1.412019943
Calonectris_borealis	-0.283199447
Spheniscus_humboldti	-0.452241259
Morus_bassanus	-0.513679398
Phalacrocorax_carbo	1.540806878
Pelecanus_crispus	0.271980012
Platalea_leucorodia	-0.493708573
Gavia_stellata	-0.478144386
Phaethon_aethereus	-0.364310339
Opisthocomus_hoazin	-0.297481281
Phoenicopterus_ruber	-0.526371137
Columba_livia	0.452846207
Streptopelia_decaocto	-0.539300414
Streptopelia_turtur	-0.44920333
Patagioenas_fasciata	-0.374071836
Cuculus_canorus	-0.561671526
Chlamydotis_macqueenii	-0.316553171
Caprimulgus_europaeus	-0.485386237
Podargus_strigoides	-0.344277586
Calypte_anna	-0.425919417
Apus_apus	0.548140293
Aythya_marila	-0.44816814
Aythya_fuligula	-0.548201513
Aythya_ferina	-0.506477183
Netta_rufina	0.248155873
Anas_acuta	-0.53733328
Anas_platyrhynchos	1.716853235
Clangula_hyemalis	-0.4639253
Bucephala_clangula	-0.532224569
Cygnus_olor	0.092193211
Cygnus_columbianus	-0.524105779
Anser_anser	0.105282129
Anser_brachyrhynchus	-0.459426915
Tetrao_urogallus	0.106909623
Gallus_gallus	0.429281717
Apteryx_mantelli	-0.309852768
Dromaius_novaehollandiae	-0.490138486
