Trait	beta	SE	p	R2
GenerationLength	2.05270565766262	0.34755985871355	8.66007121919709e-08	0.300150536485244
HabitatBreadth	-0.597094051105042	0.179504071003825	0.00132437790671313	0.109321350942502
Relative_brain_size	-0.933839404589079	0.411946149073639	0.0263184017984477	0.0522982402057456
DietBreadth	-0.49210345838551	0.244561430917888	0.0475239697992552	0.0358487723284284
Range.Size	0.434425845652731	0.241076016139639	0.0752612497812435	0.026675115368334
Brain_size	0.225396337983851	0.401635262960772	0.576359071456207	-0.00921831300927305
Trophic_level	-0.222308114967338	0.430207768346685	0.606741590430973	-0.00901932398374777
Mass	0.250618740847082	0.620752909396931	0.687472602239313	-0.0103125717196321
UrbanFULL	-0.0562999154456604	0.177090906009008	0.751367318616764	-0.0110840687468457
Migration	-0.0472691677722732	0.249349076808516	0.850120136959154	-0.0118967356457322
