trait	beta	se	p	r2	phenotype
Relative_brain_size	0.291940574516271	0.105566765010056	0.00733707071284947	0.170994099447577	TOTAL
Mass	-0.0299994510974905	0.087735955580629	0.733474678275073	0.170994099447577	TOTAL
DietBreadth	0.00225154675928506	0.0984156964590019	0.98181565043589	0.170994099447577	TOTAL
HabitatBreadth	0.30771534998708	0.0979919519357086	0.00251201307898462	0.170994099447577	TOTAL
GenerationLength	-0.085266658499786	0.10385095694048	0.414530610125183	0.170994099447577	TOTAL
Relative_brain_size	0.264109817149081	0.0979109375394214	0.0088310414705014	0.102599380676976	FOOD
Mass	0.000264401424378635	0.081373239636529	0.997417139038606	0.102599380676976	FOOD
DietBreadth	0.079489122179122	0.0912784729926895	0.386950084146366	0.102599380676976	FOOD
HabitatBreadth	0.189883328319032	0.0908854589266728	0.0404852099228024	0.102599380676976	FOOD
GenerationLength	-0.046473309305285	0.0963195619136378	0.631029939580421	0.102599380676976	FOOD
Relative_brain_size	0.170655683829869	0.0955664464425289	0.0786686816962556	0.171676898377034	TECH
Mass	-0.0620943904281354	0.0794247460295065	0.437085323159589	0.171676898377034	TECH
DietBreadth	-0.0482992185602228	0.0890927971872349	0.58953262289725	0.171676898377034	TECH
HabitatBreadth	0.324138256137347	0.0887091938980106	0.000508072566570848	0.171676898377034	TECH
GenerationLength	-0.0709209217375233	0.0940131765287345	0.453269113804306	0.171676898377034	TECH
