trait	TOTAL	FOOD	TECH
Brain_size	-0.0700049736091898	-0.0521970151220372	-0.099170463453686
DietBreadth	0.10669682201472	0.0762726228913128	0.0952727369169838
GenerationLength	-0.0207282805651575	-0.0189267816380941	-0.0494333436663078
HabitatBreadth	0.281358241178308	0.206309278167195	0.280923567006146
Mass	-0.0737110201565104	-0.0633411072084279	-0.083716347415008
Migration	-0.148653336109251	-0.0842523500642014	-0.166912049235705
Range.Size	0.32763266128498	0.274524463438353	0.279089136231657
Relative_brain_size	0.306729178682461	0.20755386725252	0.185093421004771
Trophic_level	-0.0437365986680724	-0.00876119810207066	-0.0606879894964937
UrbanFULL	0.281877806798544	0.187686556378082	0.266921356939045
