branch_id	parent	child	parent_value	child_value	branch_length	delta	phenotype
edge_27	95	9	1.00442981940853	2.757122164	0.0364508	1.75269234459147	TOTAL
edge_108	141	51	0.0108665276546958	1.682832679	0.043238	1.6719661513453	TOTAL
edge_97	133	47	0.0566510341357536	1.696548136	0.0935042	1.63989710186425	TOTAL
edge_148	159	73	0.316654406481871	1.641056768	0.00283323	1.32440236151813	TOTAL
edge_62	88	30	0.347444388550039	1.346127095	0.155402	0.998682706449961	TOTAL
edge_69	121	32	0.79392273991779	1.744111318	0.0100487	0.95018857808221	TOTAL
edge_71	119	34	1.00863999439304	1.905942966	0.0107225	0.897302971606964	TOTAL
edge_43	107	18	1.05222374856094	1.929449065	0.0463078	0.877225316439057	TOTAL
edge_52	112	113	0.906577680569838	1.77505260697957	0.00395348	0.868474926409733	TOTAL
edge_35	103	14	1.10601992582834	1.87013244	0.0363817	0.764112514171664	TOTAL
edge_41	109	16	0.572533117971755	1.302654023	0.0120817	0.730120905028245	TOTAL
edge_85	130	131	1.0893073818186	1.75371626875896	0.000182771	0.664408886940357	TOTAL
edge_7	90	91	0.442661112333761	1.06801087945305	0.0447178	0.625349767119287	TOTAL
edge_58	113	27	1.77505260697957	2.399056278	0.000376444	0.62400367102043	TOTAL
edge_26	102	8	0.81214742185427	1.388078311	0.0247886	0.57593088914573	TOTAL
edge_81	127	128	0.358823768596031	0.931231996090282	0.0321921	0.572408227494251	TOTAL
edge_45	91	110	1.06801087945305	1.61282854937726	0.0295088	0.54481766992421	TOTAL
edge_122	147	59	0.453783133296931	0.99422238	0.00594836	0.540439246703069	TOTAL
edge_51	89	112	0.418320734292161	0.906577680569838	0.0769354	0.488256946277676	TOTAL
edge_19	100	3	0.0160826101887321	0.490763469	0.00440777	0.474680858811268	TOTAL
edge_27	95	9	0.879724297488713	2.454557889	0.0364508	1.57483359151129	FOOD
edge_108	141	51	0.0851207975888496	1.410355025	0.043238	1.32523422741115	FOOD
edge_97	133	47	0.155146540824366	1.435032112	0.0935042	1.27988557117563	FOOD
edge_71	119	34	0.81384669320816	1.893712726	0.0107225	1.07986603279184	FOOD
edge_46	110	20	0.598648465281228	1.503861489	0.00980608	0.905213023718772	FOOD
edge_148	159	73	0.226733635875652	1.130410399	0.00283323	0.903676763124348	FOOD
edge_35	103	14	0.967969861359025	1.867946598	0.0363817	0.899976736640975	FOOD
edge_62	88	30	0.326071467046046	1.209997037	0.155402	0.883925569953954	FOOD
edge_52	112	113	0.475971759204356	1.34461203094262	0.00395348	0.868640271738266	FOOD
edge_85	130	131	0.613366690141685	1.45335154174081	0.000182771	0.839984851599122	FOOD
edge_23	101	6	0.631306928308126	1.37637303	0.0155179	0.745066101691874	FOOD
edge_69	121	32	0.73080094102112	1.452350987	0.0100487	0.72155004597888	FOOD
edge_41	109	16	0.687799872154712	1.395679297	0.0120817	0.707879424845288	FOOD
edge_26	102	8	0.727280500042046	1.388904219	0.0247886	0.661623718957954	FOOD
edge_58	113	27	1.34461203094262	1.962361827	0.000376444	0.617749796057378	FOOD
edge_122	147	59	0.695240032061516	1.295210385	0.00594836	0.599970352938484	FOOD
edge_80	127	37	0.386811581518007	0.969936871	0.0555366	0.583125289481993	FOOD
edge_141	157	158	-0.276001533896532	0.275746537814353	0.00198231	0.551748071710885	FOOD
edge_65	118	119	0.351445191974817	0.81384669320816	0.00606519	0.462401501233344	FOOD
edge_86	131	39	1.45335154174081	1.915151451	1.93496e-05	0.461799909259193	FOOD
edge_27	95	9	0.753828970158184	2.587342037	0.0364508	1.83351306684182	TECH
edge_97	133	47	-0.0313890082624045	1.412019943	0.0935042	1.4434089512624	TECH
edge_108	141	51	0.0984559224597519	1.540806878	0.043238	1.44235095554025	TECH
edge_43	107	18	0.832033098679282	2.19760713	0.0463078	1.36557403132072	TECH
edge_148	159	73	0.500933488126896	1.716853235	0.00283323	1.2159197468731	TECH
edge_69	121	32	0.585807028262572	1.57692688	0.0100487	0.991119851737428	TECH
edge_51	89	112	0.186612213447831	1.05431566440024	0.0769354	0.867703450952412	TECH
edge_62	88	30	0.121244889940883	0.906285757	0.155402	0.785040867059117	TECH
edge_52	112	113	1.05431566440024	1.78161053927735	0.00395348	0.727294874877109	TECH
edge_45	91	110	0.853710678300478	1.57041853965492	0.0295088	0.716707861354444	TECH
edge_7	90	91	0.200335773474019	0.853710678300478	0.0447178	0.653374904826459	TECH
edge_81	127	128	0.0404111001220745	0.652157284131413	0.0321921	0.611746184009339	TECH
edge_84	129	130	0.542476165339536	1.15185279772464	0.00266237	0.609376632385102	TECH
edge_120	146	58	-0.151141475474734	0.452846207	0.0127901	0.603987682474734	TECH
edge_58	113	27	1.78161053927735	2.368015491	0.000376444	0.586404951722648	TECH
edge_134	151	67	-0.0371596376471775	0.548140293	0.0828487	0.585299930647178	TECH
edge_71	119	34	0.798118073796037	1.325207342	0.0107225	0.527089268203963	TECH
edge_89	128	42	0.652157284131413	1.174264522	0.0176285	0.522107237868587	TECH
edge_146	155	159	0.0491916379050459	0.500933488126896	0.00667363	0.45174185022185	TECH
edge_85	130	131	1.15185279772464	1.60159221971436	0.000182771	0.449739421989721	TECH
